순번,생산라인코드,생산일자,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간,오류발생작업장명,Error_Message,발생시간,종료시간,오류조치시간_보정,비가동코드,오류발생여부,Error_label,Error_name,Error_class,name
5,D004,2011-05-23,W005,70.01649472,87.61649472,122.3992947,23.189,203.389,,충전실,센서,11:46,12:01,15.0,W005811,1,52,센서,2,2:공정 중 발생
3,C007,2011-05-25,W003,73.13015982,74.43015982,109.1178098,23.125,201.953,,쿠킹실,기타,10:16,11:12,56.0,W003684,1,23,기타,3,3:기타
1,L002,2011-05-26,W002,70.2900482,96.7900482,131.3300482,23.027,196.89,,계량실,기타,8:03,0:00,957.0,W002443,1,23,기타,3,3:기타
7,C001,2011-05-30,W003,71.95731136,112.3573114,146.7321614,22.917,197.479,,쿠킹실,전처리,10:39,11:24,45.0,W003312,1,86,전처리,1,1:공정 전 발생
2,C010,2011-06-01,W003,70.57655742,119.0765574,153.4688574,22.928,203.675,,쿠킹실,온도 상승 지연,15:47,16:05,18.0,W003551,1,72,온도 상승 지연,2,2:공정 중 발생
6,D003,2011-06-03,W005,72.88657141,109.1865714,143.5656714,22.919,203.154,,충전실,센서,14:21,15:30,69.0,W005811,1,52,센서,2,2:공정 중 발생
7,C001,2011-06-03,W003,70.96961537,113.6696154,148.1538154,22.989,197.38,,쿠킹실,전처리,18:01,19:23,82.0,W003312,1,86,전처리,1,1:공정 전 발생
12,P002,2011-06-04,W007,71.62657729,102.5265773,137.2994773,23.182,206.385,,포장실,센서,6:44,6:48,4.0,W007691,1,52,센서,2,2:공정 중 발생
14,C006,2011-06-08,W003,69.72407399,94.12407399,128.572724,22.966,199.591,,쿠킹실,기타,15:23,17:31,128.0,W003711,1,23,기타,3,3:기타
1,L001,2011-06-09,W002,71.55932888,96.85932888,131.3142289,22.97,201.076,,계량실,"업체미입고(생산미지연,순서변경)",8:53,9:06,13.0,W002312,1,66,"업체미입고(생산미지연,순서변경)",1,1:공정 전 발생
8,D005,2011-06-09,W005,71.32092947,103.2209295,137.6989295,22.985,206.391,,충전실,센서,17:15,17:22,7.0,W005811,1,52,센서,2,2:공정 중 발생
7,C002,2011-06-13,W003,71.74689861,118.1468986,152.8594486,23.142,208.018,,쿠킹실,전처리,13:00,14:05,65.0,W003312,1,86,전처리,1,1:공정 전 발생
2,D005,2011-06-16,W005,69.43369116,79.23369116,113.6565912,22.949,206.071,,충전실,센서,10:08,10:33,25.0,W005811,1,52,센서,2,2:공정 중 발생
5,D005,2011-06-16,W005,69.94525101,88.24525101,122.793701,23.032,199.851,,충전실,관리팀미입고(생산지연),15:00,15:09,9.0,W005315,1,15,관리팀미입고(생산지연),1,1:공정 전 발생
7,C002,2011-06-16,W003,72.34095114,123.4409511,157.9877011,23.031,200.035,,쿠킹실,규격보정,17:48,17:54,6.0,W003441,1,20,규격보정,2,2:공정 중 발생
5,C002,2011-07-18,W003,69.82578742,80.92578742,115.4841874,23.039,204.606,,쿠킹실,펌프이상,9:36,10:08,32.0,W003541,1,102,펌프이상,2,2:공정 중 발생
14,C001,2011-07-18,W003,69.15590613,79.65590613,113.9824061,22.884,200.733,,쿠킹실,기타,13:08,17:05,237.0,W003673,1,23,기타,3,3:기타
24,D004,2011-07-21,W005,69.79735647,82.19735647,116.9855565,23.192,200.593,,충전실,대기,7:28,7:37,9.0,W005711,1,29,대기,1,1:공정 전 발생
22,D004,2011-07-26,W005,71.04412602,93.34412602,127.796576,22.968,204.136,,충전실,센서,15:37,15:42,5.0,W005811,1,52,센서,2,2:공정 중 발생
8,D005,2011-07-27,W005,71.22943302,103.629433,138.378083,23.166,198.145,,충전실,관리팀미입고(생산지연),14:37,15:30,53.0,W005315,1,15,관리팀미입고(생산지연),1,1:공정 전 발생
2,C003,2011-07-28,W003,70.16565687,102.0656569,136.7598569,23.129,201.572,,쿠킹실,관리팀미입고(생산지연),9:58,10:40,42.0,W003321,1,15,관리팀미입고(생산지연),1,1:공정 전 발생
13,D004,2011-08-01,W005,71.76652106,112.2665211,146.9510711,23.123,202.705,,충전실,센서,19:31,19:40,9.0,W005811,1,52,센서,2,2:공정 중 발생
8,D005,2011-08-08,W005,71.31408447,132.2140845,166.2858345,22.715,199.913,,충전실,제품 넘침 청소,14:00,14:23,23.0,W005431,1,91,제품 넘침 청소,2,2:공정 중 발생
12,D005,2011-08-08,W005,71.35065435,125.0506544,159.5132544,22.975,199.12,,충전실,은박교체,19:20,19:26,6.0,W0056A3,1,80,은박교체,2,2:공정 중 발생
3,C003,2011-08-09,W003,70.07940054,100.2794005,135.0720005,23.195,203.327,,쿠킹실,업체미입고(생산지연),15:50,16:55,65.0,W003322,1,67,업체미입고(생산지연),1,1:공정 전 발생
13,D004,2011-08-09,W005,70.9042306,105.4042306,139.9350806,23.021,207.103,,충전실,센서,3:15,3:21,6.0,W005811,1,52,센서,2,2:공정 중 발생
